Id,Contract_Id,Type,Cost_Rate,Time_Start,Time_Finish,Meter,Description,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,January,February,March,April,May,June,July,August,September,October,November,December,Checksum,Valid_From
4607,3460,NULL,12.593,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-06-01 00:00:00.000
4608,3461,NULL,17.142,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-06-01 00:00:00.000
4609,3461,NULL,12.068,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-06-01 00:00:00.000
4610,3462,NULL,16.284,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-06-01 00:00:00.000
4611,3462,NULL,12.429,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-06-01 00:00:00.000
4612,3463,NULL,16.348,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-06-01 00:00:00.000
4615,3465,NULL,23.5,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-05 00:00:00.000
4616,3465,NULL,23.5,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-05 00:00:00.000
4617,3466,NULL,23.5,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-05 00:00:00.000
4618,3466,NULL,23.5,00:00,07:00,1,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-05 00:00:00.000
4619,3467,NULL,2.69,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-09-18 00:00:00.000
4620,3468,NULL,17.952,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-11-01 00:00:00.000
4621,3468,NULL,13.525,00:00,07:00,1,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-11-01 00:00:00.000
4622,3469,NULL,3.734,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-11-01 00:00:00.000
